"Year","Site","Box","Attempt","Species.J","Nest.ID","Nestl.ID","Bandage","Nestling.Max","K","Hem","Blowflies","inc.temp","nestling.temp","Total.Trip.min","T.perc","mass.A","Vol.2"
2019,"DR","5",2,"EABL","DR5.2.19","R1-4571",8,4,0.3991961,41,"No",26.21643969,32.85599166,0.124246988,0.100903614,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","L1-4570",8,4,0.4140184,39,"No",26.21643969,32.85599166,0.211035392,0.349087712,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","L1-4570",8,4,0.4140184,39,"No",26.21643969,32.85599166,0.156326331,0.202898551,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","L1-4570",8,4,0.4140184,39,"No",26.21643969,32.85599166,0.124246988,0.100903614,0.2565,1737.40125
2019,"DR","7",1,"EABL","DR7.1.19","R3-590",7,4,0.3682734,38,"No",31.4113708,35.88157293,0.108611327,0.595552108,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","R3-590",7,4,0.3682734,38,"No",31.4113708,35.88157293,0.142144638,0.391147132,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","R3-590",7,4,0.3682734,38,"No",31.4113708,35.88157293,0.134554289,0.111567931,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","R3-590",7,4,0.3682734,38,"No",31.4113708,35.88157293,0.303157895,0.155649123,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","R2-589",7,4,0.3743414,35,"No",31.4113708,35.88157293,0.108611327,0.595552108,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","R2-589",7,4,0.3743414,35,"No",31.4113708,35.88157293,0.142144638,0.391147132,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","R2-589",7,4,0.3743414,35,"No",31.4113708,35.88157293,0.134554289,0.111567931,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","R2-589",7,4,0.3743414,35,"No",31.4113708,35.88157293,0.303157895,0.155649123,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L3-91",7,4,0.3401333,36,"No",31.4113708,35.88157293,0.108611327,0.595552108,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L3-91",7,4,0.3401333,36,"No",31.4113708,35.88157293,0.142144638,0.391147132,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L3-91",7,4,0.3401333,36,"No",31.4113708,35.88157293,0.134554289,0.111567931,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L3-91",7,4,0.3401333,36,"No",31.4113708,35.88157293,0.303157895,0.155649123,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L2-588",7,4,0.3872257,31,"No",31.4113708,35.88157293,0.108611327,0.595552108,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L2-588",7,4,0.3872257,31,"No",31.4113708,35.88157293,0.142144638,0.391147132,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L2-588",7,4,0.3872257,31,"No",31.4113708,35.88157293,0.134554289,0.111567931,1.0609,274.3575
2019,"DR","7",1,"EABL","DR7.1.19","L2-588",7,4,0.3872257,31,"No",31.4113708,35.88157293,0.303157895,0.155649123,1.0609,274.3575
2019,"DR","1A",1,"EABL","DR1A.1.19","R3-540",5,4,0.4028971,35,"No",26.3880597,31.41568728,0.193791495,0.415216221,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","R3-540",5,4,0.4028971,35,"No",26.3880597,31.41568728,0.135787568,0.385938443,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","R3-540",5,4,0.4028971,35,"No",26.3880597,31.41568728,0.138910326,0.113906467,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","R3-540",5,4,0.4028971,35,"No",26.3880597,31.41568728,0.115789474,0.085614035,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","R1-539",5,4,0.4114038,43,"No",26.3880597,31.41568728,0.193791495,0.415216221,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","R1-539",5,4,0.4114038,43,"No",26.3880597,31.41568728,0.135787568,0.385938443,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","R1-539",5,4,0.4114038,43,"No",26.3880597,31.41568728,0.138910326,0.113906467,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","R1-539",5,4,0.4114038,43,"No",26.3880597,31.41568728,0.115789474,0.085614035,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L3-538",5,4,0.4148214,37,"No",26.3880597,31.41568728,0.193791495,0.415216221,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L3-538",5,4,0.4148214,37,"No",26.3880597,31.41568728,0.135787568,0.385938443,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L3-538",5,4,0.4148214,37,"No",26.3880597,31.41568728,0.138910326,0.113906467,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L3-538",5,4,0.4148214,37,"No",26.3880597,31.41568728,0.115789474,0.085614035,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L1-541",5,4,0.3788664,33,"No",26.3880597,31.41568728,0.193791495,0.415216221,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L1-541",5,4,0.3788664,33,"No",26.3880597,31.41568728,0.135787568,0.385938443,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L1-541",5,4,0.3788664,33,"No",26.3880597,31.41568728,0.138910326,0.113906467,0.6866,1727.58875
2019,"DR","1A",1,"EABL","DR1A.1.19","L1-541",5,4,0.3788664,33,"No",26.3880597,31.41568728,0.115789474,0.085614035,0.6866,1727.58875
2019,"LF","1",1,"TRES","LF1.1.19","LF1.1.R3",9,5,,,"No",27.18976391,29.81011781,0.239401496,0.232917706,0.5372,1940.1275
2019,"LF","1",1,"TRES","LF1.1.19","LF1.1.R3",9,5,,,"No",27.18976391,29.81011781,0.256369679,0.067257477,0.5372,1940.1275
2019,"LF","1",1,"TRES","LF1.1.19","LF1.1.R3",9,5,,,"No",27.18976391,29.81011781,0.208300458,0.246962285,0.5372,1940.1275
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R3-211",12,6,0.3968193,47,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R2-210",12,6,0.3968193,42,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.6388,98.125
