"Nestl.ID","Vol.2","mass.A","Total.Trip.min","T.perc","nestling.temp","Nestl.ID.1","bf","K","Hem","Nest.ID","Nestling.Max","Species.J","Vol.2.1","Species"
"L3-572",689.23,3.8217,0.15463921575,0.32785449275,34.85857592,"L3-572","1",0.3706687,27,"R7.1.19",5,"EABL",689.23,"EABL"
"L3-580",599.54375,0.9574,0.15525456325,0.250182566,31.03556194,"L3-580","0",0.3665571,44,"LF8.2.19",4,"EABL",1075.64625,"EABL"
"L3-581",424.685,0.407,0.166166786,0.38435507125,28.08822791,"L3-581","0",0.3849813,43,"R2.2.19",3,"EABL",424.685,"EABL"
"L3-586",784.215,0.5553,0.1040083555,0.2002583655,35.35414058,"L3-586","0",0.3756667,47,"R11.1.19",4,"EABL",784.215,"EABL"
"L3-592",58.875,0.9352,NA,NA,34.13097243,"L3-592","0",0.3801684,40,"W39.2.19",4,"EABL",58.875,"EABL"
"L3-600",NA,0.5883,0.156569692,0.35355153425,NA,"L3-600","0",0.3481694,43,"W6.2.19",4,"EABL",NA,"EABL"
"L3-626",954.56,0.7019,0.184396903,0.2644747205,34.57588437,"L3-626","0",0.3880467,NA,"DR5.1.19",5,"EABL",954.56,"EABL"
"L3-632",941.01875,3.6218,0.267077867,0.082010577,26.86581596,"L3-632","0",0.3942599,NA,"W48.1.19",5,"EABL",941.01875,"EABL"
"L3-664",1269.835625,0.8081,0.286305074,0.380308573,37.0181501,"L3-664","0",0.3487911,29,"R3.1.19",5,"EABL",1269.835625,"EABL"
"L3-672",389.36,0.9299,0.22001287,0.235320049,34.59693763,"L3-672","0",0.379881,43,"W60.1.19",4,"EABL",389.36,"EABL"
"L3-675",1571.9625,0.7101,0.186406079333333,0.474631134333333,26.76041895,"L3-675","1",0.2969844,43,"W29.1.19",3,"EABL",1571.9625,"EABL"
"L3-680",128.54375,1.5659,0.17426034,0.4257107295,33.89372415,"L3-680","0",0.3772843,42,"W24.1.19",4,"EABL",128.54375,"EABL"
"L3-684",794.8125,1.1802,0.289311546,0.062818109,32.64105634,"L3-684","0",0.3808907,34,"W14.1.19",4,"EABL",794.8125,"EABL"
"L3-692",NA,0.944,0.173715198,0.418757624,29.9122696,"L3-692","0",0.3896999,48,"W36.1.19",3,"EABL",NA,"EABL"
